ITZ_GEOID,pop_density,percent_non_hispanic_or_latino_white_alone,percent_non_hispanic_black_alone,percent_hispanic_any_race,percent_non_hispanic_asian_alone,median_age,per_capita_income,resid_unit_density,percent_multi_family_units,percent_occupied_housing_units,median_gross_rent,median_home_value,percent_households_with_people_under_18,percent_of_households_in_same_house_year_ago,percent_bachelor_degree_or_higher,percent_car_commuters,percent_public_transport_commuters,percent_public_transport_trips_under_45_min,percent_car_trips_under_45_min
SI122,51205.20023991435,81.5,0.0,10.6,7.9,44.5,41378.0,20154.408423531553,30.5,93.5,1665.0,572800.0,25.9,91.0,36.5,67.78947368421052,23.63157894736842,0.0,9.076086956521738
SI125,71650.60610235279,42.2,13.3,36.4,5.4,35.2,30657.0,25655.008617547388,53.3,88.5,1417.0,504500.0,41.7,93.0,28.8,54.29899302865995,37.64523625096824,3.3950617283950617,18.20256776034237
SI128.04,48494.567794336865,75.8,1.0,12.8,10.4,37.0,37930.0,20971.920956086306,25.299999999999997,88.5,1476.0,432100.0,34.6,95.0,31.2,65.71428571428571,24.232804232804234,0.74235807860262,9.090177133655395
SI132.01,33924.74949579161,79.1,1.4,9.7,9.9,44.2,42382.0,13776.19895065592,13.899999999999995,91.5,1208.0,614000.0,30.4,94.2,41.4,67.9160419790105,25.787106446776612,1.686046511627907,31.169977924944817
SI146.06,36299.12274695132,88.3,0.4,8.7,2.4,41.5,41821.0,15163.695247804082,31.000000000000007,92.9,1563.0,420600.0,30.5,95.2,44.2,71.8164188752424,27.18164188752424,0.713436385255648,4.45994599459946
SI133.01,175037.22925430967,3.7,51.7,41.6,2.8,41.2,12451.0,104542.78349983427,95.1,87.3,294.0,,25.7,97.9,6.4,17.91530944625407,55.700325732899024,24.970760233918128,333.27272727272725
SI133.02,39308.62564596259,5.7,38.4,49.4,4.2,29.4,20113.0,14105.905391687478,56.7,78.3,1454.0,379900.0,50.0,95.3,18.5,47.15447154471545,40.65040650406504,10.52,21.75862068965517
SI134,51864.480080703004,79.6,0.5,15.6,3.3,43.7,39017.0,20383.91739692914,44.8,96.2,1477.0,610500.0,28.4,98.5,29.7,61.43867924528302,31.014150943396228,2.300380228136882,13.368522072936662
SI138,46591.28710844082,77.3,0.0,16.3,5.3,50.8,44401.0,18737.46773074196,23.700000000000003,95.2,1624.0,602900.0,23.8,97.9,35.1,69.95591726008817,27.161749745676502,1.136079900124844,6.22879301987397
SI141,78836.91469102225,33.5,13.9,34.1,14.5,39.2,35445.0,34333.87277317803,46.0,89.2,1332.0,367100.0,36.5,94.8,37.7,63.295553618134264,31.99651264167393,5.122615803814714,17.107438016528928
SI277.04,94363.93878075037,72.5,0.2,10.6,15.6,43.2,38449.0,32963.16461621805,33.60000000000001,93.7,1401.0,567800.0,41.7,95.8,30.4,75.40904716073148,19.345524542829644,3.457711442786069,7.511167836630506
SI208.04,48463.45456715359,86.2,0.0,4.4,4.0,44.0,42119.0,16704.562457214517,29.900000000000002,99.7,1422.0,632800.0,35.1,95.7,32.2,73.88486465878765,18.680899733130005,2.8367346938775504,5.7481940144478845
