ITZ_GEOID,orig_pop_density,orig_percent_non_hispanic_or_latino_white_alone,orig_percent_non_hispanic_black_alone,orig_percent_hispanic_any_race,orig_percent_non_hispanic_asian_alone,orig_median_age,orig_per_capita_income,orig_resid_unit_density,orig_percent_multi_family_units,orig_percent_occupied_housing_units,orig_median_gross_rent,orig_median_home_value,orig_percent_households_with_people_under_18,orig_percent_of_households_in_same_house_year_ago,orig_percent_bachelor_degree_or_higher,orig_percent_car_commuters,orig_percent_public_transport_commuters,orig_percent_public_transport_trips_under_45_min,orig_percent_car_trips_under_45_min
QN1385.01,48948.01055056504,41.6,0.0,8.9,56.1,41.4,28905.0,16926.859652067353,50.4,93.5,1749.0,764900.0,46.6,95.4,41.8,65.380859375,29.19921875,1.137123745819398,11.882001493651979
QN1385.02,153.5805333637561,78.8,0.0,0.0,21.2,54.4,,0.0,,,,,,78.8,0.0,,,,
QN1399,50402.49410572947,57.8,0.0,5.5,42.2,45.4,34475.0,17511.977669891898,15.099999999999994,94.2,1690.0,649200.0,31.6,93.3,41.2,55.5984555984556,33.46203346203346,6.076923076923077,21.18055555555555
QN1403,74121.89656064566,37.2,0.8,16.2,55.0,42.1,28039.0,24593.962620275397,12.100000000000001,97.8,,556500.0,39.6,88.3,33.0,49.568221070811745,46.027633851468046,1.7260787992495308,26.933797909407666
QN1409.01,38573.25875722567,50.8,1.3,4.8,48.0,46.3,28544.0,13798.564108275847,25.599999999999994,100.0,1837.0,609700.0,33.4,82.8,51.6,77.97927461139896,18.911917098445596,3.6986301369863015,55.11627906976743
QN1409.02,48468.886168336554,45.1,2.9,11.3,49.2,43.1,30176.0,17002.48382031782,30.500000000000004,90.6,1907.0,650800.0,35.4,96.2,40.9,52.38954012623986,39.49504057709648,8.036529680365298,22.650602409638555
QN1429,67318.78863073139,56.1,0.0,9.8,40.6,41.5,27264.0,25552.837486259607,42.699999999999996,94.9,1428.0,644200.0,38.1,88.7,40.3,62.81645569620253,30.617088607594937,5.891472868217054,19.735516372795963
QN1435,76732.54926178184,51.5,0.0,9.9,36.4,40.2,31128.0,24917.51698933606,25.799999999999997,97.8,1414.0,660500.0,45.3,93.8,34.4,70.20890099909174,25.61307901907357,4.787234042553192,22.186287192755497
QN1441,94758.83877202659,56.8,0.5,9.0,36.5,45.1,34424.0,38597.203301030306,55.900000000000006,98.0,1403.0,562400.0,27.1,92.8,46.3,57.63239875389408,34.890965732087224,4.330357142857142,21.581081081081077
QN1447,78194.24702118596,25.3,19.6,21.7,40.0,42.4,22493.0,25400.01044178121,50.50000000000001,96.6,1618.0,560700.0,49.9,93.8,25.0,57.31080088170463,36.958119030124905,7.037773359840954,21.2051282051282
QN50,0.0,,,,,,,0.0,,,,,,,,,,,
QN51,149460.59693425495,45.3,2.1,18.2,37.4,37.1,21620.0,59109.15414469222,84.7,96.4,1139.0,565400.0,27.5,90.0,31.6,11.961722488038278,76.3157894736842,12.288401253918497,187.4
QN52,234963.73546624766,17.3,7.9,30.7,49.4,29.0,19473.0,69969.9092987879,86.7,91.3,1441.0,561400.0,51.4,84.2,19.0,30.694980694980696,54.343629343629345,7.602131438721137,54.15094339622642
QN53,278551.2474438305,64.7,0.0,15.9,21.4,35.9,35203.0,133003.42749137076,93.6,95.6,1255.0,602300.0,17.7,89.5,42.8,20.45751633986928,66.60130718954248,3.1501472031403335,21.00638977635783
QN54,141384.0677009855,39.6,4.8,44.0,22.5,36.9,21437.0,45110.57048540423,50.900000000000006,92.6,1288.0,456700.0,46.7,86.4,16.2,42.585386943363595,47.686986597492435,2.166817769718948,17.56345177664975
QN55,72901.79026248834,48.9,2.1,68.1,7.9,37.0,23705.0,26722.008530378287,96.6,100.0,1272.0,,33.0,92.0,19.7,13.711151736745887,76.41681901279708,13.277511961722489,209.2
QN57,182187.00161845837,59.7,3.9,39.1,17.7,35.5,28408.0,88782.46061956586,95.19999999999999,93.5,1201.0,717600.0,18.6,92.1,36.7,17.38929889298893,69.8339483394834,4.504623513870541,41.0079575596817
QN58,110177.45153107855,45.4,5.9,39.7,17.8,37.1,26574.0,38213.80976972386,55.2,95.4,1205.0,456000.0,40.6,87.8,21.2,58.742380494064804,33.68623676612127,0.8857142857142858,9.158929546695795
QN59,212720.35779618783,76.7,0.3,25.6,12.3,31.9,34347.0,113235.81695934343,96.5,85.7,1343.0,628900.0,16.2,84.8,45.9,9.920449227889565,78.05334581188582,3.693045563549161,86.79245283018868
QN61,317423.1113596165,69.3,0.3,29.4,18.4,33.6,30982.0,156945.6412911595,96.0,95.3,1297.0,632500.0,16.8,89.4,42.1,16.780238500851787,68.68256672345258,2.521703183133526,23.92554991539763
QN63,261166.76992116234,77.5,0.6,18.4,14.9,33.8,31193.0,139852.8804795053,94.5,91.7,1380.0,659500.0,11.1,84.7,49.2,16.1533196440794,72.55304585900069,3.768867924528301,23.6864406779661
QN69,230933.5441827743,69.5,1.9,41.9,14.2,32.3,23282.0,101237.43047765172,91.7,88.0,1464.0,714700.0,19.4,77.1,38.6,11.95421788893599,76.60025434506147,3.608190370780299,65.1063829787234
QN71,194845.35887237175,64.3,0.9,29.5,17.3,33.1,28156.0,103211.80300200338,93.0,93.8,1387.0,668800.0,16.0,86.8,46.0,14.52161243322001,75.32782904322487,4.4294003868471945,64.04682274247492
QN73,321116.6866100083,65.5,1.2,14.7,27.3,32.5,38363.0,165234.79990612075,94.2,91.5,1333.0,440500.0,22.9,87.1,51.3,20.62908496732026,65.07352941176471,4.199623352165726,33.504950495049506
QN75,303351.86673108273,77.8,1.5,23.8,11.1,38.9,33405.0,186658.85045149818,96.30000000000001,88.2,1163.0,337400.0,12.0,88.8,44.3,16.373966942148762,71.95247933884298,4.1421392677674085,40.25236593059937
QN77,114459.062880373,50.6,2.1,29.4,31.7,34.9,31072.0,56422.284894259596,77.60000000000001,83.9,1306.0,684900.0,23.7,78.3,28.8,28.223844282238442,65.32846715328468,12.66294227188082,65.00000000000001
QN79,202924.36606191762,46.8,0.8,39.2,35.2,34.3,23560.0,87446.58735781249,93.1,88.0,1358.0,477500.0,23.3,85.6,36.8,10.5229180116204,74.95158166559071,2.5581395348837215,111.96319018404908
QN81,99355.90820804665,41.1,4.2,29.9,24.3,26.6,28799.0,39163.591002395086,85.0,80.5,1484.0,500000.0,40.4,95.2,28.9,23.04832713754647,59.479553903345725,15.625,146.93548387096774
QN83,208027.91473224637,45.5,9.7,51.2,9.1,32.5,20133.0,71782.29804698624,88.1,90.0,1316.0,681500.0,43.7,89.5,25.2,22.923976608187136,57.77777777777778,3.9676113360323892,35.816326530612244
QN637,51251.384988668775,90.7,0.0,22.2,3.1,44.4,25979.0,19125.97194662093,40.800000000000004,92.2,1614.0,560300.0,42.8,88.6,22.7,62.639821029082775,36.53989560029829,2.2857142857142856,19.761904761904763
QN638,55928.28791990761,8.0,83.4,4.7,5.8,39.6,27624.0,17238.59680466302,16.300000000000004,97.6,1507.0,414200.0,46.0,89.6,29.5,56.56742556917688,39.813193228254526,3.504398826979472,9.690402476780186
QN639,124971.671308056,73.2,1.7,31.4,8.3,39.0,32098.0,48828.308037339404,75.0,95.8,1204.0,509700.0,28.6,93.5,28.4,49.506254114549044,48.716260697827515,4.418918918918918,18.523936170212767
QN641.01,230802.3122892069,79.3,0.8,24.2,9.4,47.4,33064.0,118079.3676074746,94.69999999999999,87.9,788.0,196300.0,24.3,83.3,32.2,54.63297232250301,41.87725631768953,3.045977011494253,39.60352422907489
QN1451.01,68226.05905589019,51.3,0.3,3.5,47.5,38.6,23502.0,23881.256739037333,47.5,94.6,1637.0,607500.0,41.2,94.3,31.9,71.31661442006269,28.683385579937305,14.043715846994536,29.16483516483516
QN1451.02,84441.25704662617,41.1,0.8,17.8,37.7,36.0,26899.0,27061.748802501876,42.3,95.2,1468.0,587600.0,42.2,89.1,29.7,74.12060301507537,21.1892797319933,4.743083003952569,15.35593220338983
QN1459,80989.1416405484,56.7,0.0,8.9,40.6,44.7,34676.0,30145.635276830115,36.8,97.6,1220.0,607900.0,25.2,95.6,33.6,68.05555555555556,28.317901234567902,3.569482288828337,12.33560090702948
QN1463,94607.9050721024,68.2,0.3,11.7,29.3,46.0,25753.0,34066.768330219704,83.0,89.6,1391.0,609800.0,26.3,85.6,30.7,60.98945660989457,35.117599351176,10.831408775981526,20.771276595744684
QN1467,93800.55238958493,72.3,0.9,11.4,23.3,40.7,34562.0,42193.493036562235,85.0,96.4,1283.0,627400.0,19.9,90.5,34.4,50.12315270935961,43.7192118226601,5.859154929577465,20.36855036855037
QN1471,81228.8276698827,58.9,0.6,15.6,34.6,42.7,39073.0,34801.35555145685,66.4,96.5,1689.0,569100.0,25.3,85.9,51.7,58.71453387376954,35.90040532715692,3.338709677419355,17.465483234714004
QN1479,47985.616175122275,64.8,0.2,20.1,29.2,40.0,42185.0,20426.388725753783,53.099999999999994,93.0,1373.0,564200.0,34.2,86.4,52.2,64.3621766280107,32.24799286351472,5.159059474412171,12.030492030492033
QN1483,25261.147493156193,60.3,1.7,6.2,35.4,43.1,55453.0,8343.350607361053,18.200000000000006,98.9,1736.0,946600.0,34.3,86.1,66.5,72.89036544850498,20.996677740863788,6.202531645569621,15.250683682771195
QN1507.01,34795.801133539724,74.6,0.1,6.2,25.2,44.5,43421.0,13542.61420264443,13.700000000000003,92.8,1393.0,755400.0,30.7,93.9,49.7,66.10664718772827,23.155588020452885,0.0,17.314917127071823
